title,price,tikinow,freeship,reviews,product_id,link,rating_value,image url,badge under price,discount percentage,installment,free gifts,dis_percentage
Điện Thoại Oppo A93 2020 (8GB/128GB) - Hàng Chính Hãng,5590000,Yes,No,91,5164589212225,https://tiki.vn/dien-thoai-oppo-a93-2020-8gb-128gb-hang-chinh-hang-p68596326.html?src=ss-organic,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/58/76/44/f3f0452e127c308e933073d2f72410f8.jpg,No,,Yes,No,25
Điện thoại Xiaomi POCO X3 - Hàng Chính Hãng ,4990000,No,No,1,3263372026727,https://tiki.vn/dien-thoai-xiaomi-poco-x3-128gb-ram-6gb-hang-chinh-hang-p67057190.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/01/ca/08/6fdc7404415e546bb209c5253219fad1.png,No,,No,No,25
AdMáy tính bảng Vankyo MatrixPad S20 - Hàng Chính Hãng,3490000,No,No,5,5720984655915,https://tiki.vn/may-tinh-bang-vankyo-matrixpad-s20-hang-chinh-hang-p72042076.html?spid=72042077&src=ss-ads,4.6,https://salt.tikicdn.com/cache/280x280/ts/product/83/1d/47/b6ee30f0007f9d8813b8abaa0f101dd8.jpg,No,,No,No,34
Điện Thoại Xiaomi Redmi 9C - Hàng Chính Hãng,2490000,No,No,No,8805389674574,https://tiki.vn/dien-thoai-xiaomi-redmi-9c-hang-chinh-hang-p59519631.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/f9/a9/14/133b750b34ce7335379eed3de42530fb.png,No,,No,No,0
Điện thoại Vsmart Aris (8GB/128GB) - Hàng Chính Hãng,5790000,Yes,No,75,3224729988112,https://tiki.vn/dien-thoai-vsmart-aris-8gb-128gb-hang-chinh-hang-p73113762.html?src=ss-organic,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/36/96/0d/2844545518e34ff3a4fb8679d10f4a53.jpg,No,,No,No,23
Điện Thoại Xiaomi Redmi 9 - Hàng Chính Hãng,2890000,No,No,7,1091071504787,https://tiki.vn/dien-thoai-xiaomi-redmi-9-hang-chinh-hang-p57127752.html?src=ss-organic,5,https://salt.tikicdn.com/cache/280x280/ts/product/3d/16/fa/e7c99ea56aee99a21836786af1f99366.png,No,,No,No,19
AdMáy đọc sách All New Kindle Bản đặc biệt 8GB - Hàng nhập khẩu,2332000,No,No,13,1482601797784,https://tiki.vn/may-doc-sach-all-new-kindle-ban-dac-biet-8gb-hang-nhap-khau-p66773643.html?spid=66773647&src=ss-ads,4.5,https://salt.tikicdn.com/cache/280x280/ts/product/8b/d5/ff/8b8ab913d1f347396e5bfcb0fc336b74.jpg,Yes,,No,No,27
Điện Thoại iPhone 11 128GB - Hàng Chính Hãng,17990000,Yes,No,342,3944486607964,https://tiki.vn/dien-thoai-iphone-11-128gb-hang-chinh-hang-p32033730.html?src=ss-organic,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/0c/62/39/499c08d6ec13cd33b33ee601d9e4251e.jpg,No,,Yes,No,25
Điện Thoại Realme C12 (3GB/32GB) - Hàng Chính Hãng,2650000,Yes,No,56,9917912903989,https://tiki.vn/dien-thoai-realme-c12-hang-chinh-hang-p63453468.html?src=ss-organic,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/74/d7/d9/dc06485711b16a15283521a70be84cdf.jpg,No,,No,No,24
Điện thoại Vsmart Star 4 (4GB/64GB) - Hàng Chính Hãng,2384000,Yes,No,798,2955187124217,https://tiki.vn/dien-thoai-vsmart-star-4-4gb-64gb-hang-chinh-hang-p59043375.html?src=ss-organic,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/c4/bc/cc/21e30a265d74c43a2f01b1dac081a37d.jpg,No,,No,No,11
