title,price,tikinow,freeship,reviews,product_id,link,rating_value,image url,badge under price,discount percentage,installment,free gifts,dis_percentage
Điện thoại Vivo Y1S - Hàng chính hãng,2073700,Yes,No,19,2475291908928,https://tiki.vn/dien-thoai-vivo-y1s-hang-chinh-hang-p58444960.html?src=ss-organic,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/ac/e0/57/6f377a45a456cda76c40bbd79b64a0a3.png,No,,No,No,23
Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng,350000,Yes,No,328,7578609335289,https://tiki.vn/dien-thoai-nokia-105-dual-sim-2019-hang-chinh-hang-p25730627.html?src=ss-organic,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/a5/1b/4b/925051cd75d938700de042def6dd3428.jpg,No,,No,No,3
Điện Thoại Nokia 105 Single Sim - Hàng Chính Hãng,330000,Yes,No,324,7139436320222,https://tiki.vn/dien-thoai-nokia-105-single-sim-2019-hang-chinh-hang-p34942696.html?src=ss-organic,4.6,https://salt.tikicdn.com/cache/280x280/ts/product/d8/4d/b3/2e6197b0211b70555b6a1c2fa44b9a54.jpg,No,,No,No,8
Máy đọc sách Kindle Oasis 3 (2019) - Amazon - Hàng nhập khẩu,6150000,Yes,No,91,1096925155627,https://tiki.vn/may-doc-sach-kindle-oasis-3-2019-amazon-hang-nhap-khau-p43924153.html?src=ss-organic,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/93/b9/e5/0fd5b3441b6567eb7f2c306ca821670a.jpg,Yes,,No,Yes,25
Điện Thoại Xiaomi Redmi 9C - Hàng Chính Hãng,2490000,No,No,No,8805389674574,https://tiki.vn/dien-thoai-xiaomi-redmi-9c-hang-chinh-hang-p59519631.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/f9/a9/14/133b750b34ce7335379eed3de42530fb.png,No,,No,No,0
Điện Thoại Xiaomi Redmi 9 - Hàng Chính Hãng,2890000,No,No,7,1091071504787,https://tiki.vn/dien-thoai-xiaomi-redmi-9-hang-chinh-hang-p57127752.html?src=ss-organic,5,https://salt.tikicdn.com/cache/280x280/ts/product/3d/16/fa/e7c99ea56aee99a21836786af1f99366.png,No,,No,No,19
iPad Air 10.9 Wi-Fi 64GB New 2020 - Hàng Chính Hãng,14990000,Yes,No,101,6973884153466,https://tiki.vn/ipad-air-10-9-wi-fi-64gb-new-2020-hang-chinh-hang-p68171118.html?src=ss-organic,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/8a/dd/2b/f7f3644029d510bc7655402d71c28764.jpg,No,,Yes,No,17
Điện Thoại Realme C12 (3GB/32GB) - Hàng Chính Hãng,2650000,Yes,No,56,9917912903989,https://tiki.vn/dien-thoai-realme-c12-hang-chinh-hang-p63453468.html?src=ss-organic,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/74/d7/d9/dc06485711b16a15283521a70be84cdf.jpg,No,,No,No,24
"Máy Tính Bảng Samsung Galaxy Tab A8 8"" T295 - Hàng Chính Hãng",3490000,No,No,7,4768055136698,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a8-8-t295-2019-hang-chinh-hang-p21464946.html?src=ss-organic,3.9,https://salt.tikicdn.com/cache/280x280/ts/product/05/f4/a0/4d066ca1f0249c6ff49af104b8b0c431.jpg,No,,Yes,No,5
Máy Tính Bảng Samsung Galaxy Tab A 8 Plus P205 (Có S Pen) - Hàng Chính Hãng,4990000,Yes,No,105,4125797168125,https://tiki.vn/may-tinh-bang-samsung-galaxy-a-8-plus-co-s-pen-hang-chinh-hang-p13561036.html?src=ss-organic,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/33/c8/a0/c446d323441685f81c507bdc74194046.jpg,No,,Yes,No,29
Điện Thoại Samsung Galaxy A12 (4GB/128GB) - Hàng Chính Hãng,4190000,Yes,No,37,7318272837679,https://tiki.vn/dien-thoai-samsung-galaxy-a12-4gb-128gb-hang-chinh-hang-p74932860.html?src=ss-organic,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/da/a6/22/73818b7c5a8b7d6d5c34952d85168c2d.jpg,No,,Yes,No,2
Điện thoại Vsmart Star 4 (4GB/64GB) - Hàng Chính Hãng,2384000,Yes,No,798,2955187124217,https://tiki.vn/dien-thoai-vsmart-star-4-4gb-64gb-hang-chinh-hang-p59043375.html?src=ss-organic,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/c4/bc/cc/21e30a265d74c43a2f01b1dac081a37d.jpg,No,,No,No,11
Điện Thoại iPhone 12 Pro 256GB - Hàng Chính Hãng,28490000,Yes,Yes,83,1031627967543,https://tiki.vn/dien-thoai-iphone-12-pro-256gb-hang-chinh-hang-p71198812.html?src=ss-organic,4.8,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,Yes,No,19
Điện Thoại Xiaomi POCO X3 NFC (6GB/128GB) - Hàng Chính Hãng,5590000,Yes,No,30,6801872091363,https://tiki.vn/dien-thoai-xiaomi-poco-x3-nfc-6gb-128gb-hang-chinh-hang-p73655906.html?src=ss-organic,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/20/db/8c/aa3b2c3a4c0813f79c3b3071c37f142c.jpg,No,,No,Yes,20
iPad Pro 11 inch (2020) 128GB Wifi  - Hàng  Chính Hãng,20490000,Yes,No,27,9882684627206,https://tiki.vn/ipad-pro-11-inch-2020-128gb-wifi-hang-chinh-hang-p74558946.html?src=ss-organic,5,https://salt.tikicdn.com/cache/280x280/ts/product/99/0e/80/9c67bc593e297707aaad0f0e24b4789e.jpg,No,,Yes,No,7
